Name,Msg File,FRM file,Prefix,Location,Mod,TH Mod,Status,VoiceActor,Description,AuditionLineA,AuditionLineB,AuditionLineC,WikiLink,ImageFile,InVockScope,Companion,CompanionMod
Louise,rclou,lou,lou,Redding,VOCK,Talking Heads,Work In Progress,Billy Graves,"Usually referred to as “Lou”, she’s the hearty owner of the “Malamute Saloon”. A woman who has seen much in her years, it takes little to faze her.",Remember what I said. Too much money ain't good for that gal. Now whattya need?,"Well, I hear all kinds of things about the whole city bein' full o' nuthin' but crazy followers of some kind of kooky religion.","You're just an idjit, ain't ya?",https://fallout.fandom.com/wiki/Louise,rclou.png,Yes,,
Marge LeBarge,rcmarge,marge,marge,Redding,VOCK,Talking Heads,Auditioning,,"Burly and commanding, Marge LeBarge isn’t a woman you’d want to mess with. She’s the owner of Redding’s “Kokoweef Gold Mine”. She’s fairly amicable to anyone on her good side.",Looks like your belt doesn't go through all the loops.,"A Garden of Eden Creation Kit, huh? Sounds pretty impressive. If I had something like that you sure wouldn't find me grubbing around in the dirt to make ends meet, now would you?","It's got kind of a romantic sound to it, don't it? Ko-ko-weef. Yeah, I still like the way that sounds.",https://fallout.fandom.com/wiki/Marge_LeBarge,rcmarge.png,Yes,,
Earl Marion,rcmarion,marin,,Redding,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Earl_Marion,rcmarion.png,Yes,,
Dan McGrew,rcmcgrew,dan,,Redding,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Dan_McGrew,rcmcgrew.png,Yes,,
Ben Wade,rcwade,ben,,Vault City,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Ben_Wade,rcwade.png,Yes,,
Doctor Jubilee,scdocjub,jub,jub,NCR,VOCK,Talking Heads,Auditioning,,"Jubilee is an old, kindly looking fellow and a certified doctor working for the New California Republic. He’s a well respected doctor, despite the fact that he constantly suggests “amputating the leg” as a solution to any patients’ ailments.","I'm Doc Jubilee. What's wrong, young man?",I don't know. Don't think I can save it. We may have to cut that leg off.,Put that back! You could seriously hurt yourself with that stuff.,https://fallout.fandom.com/wiki/Jubilee,scdocjub.png,Yes,,
Ranger Chief Elise,scelise,elise,elise,NCR,VOCK,Talking Heads,Auditioning,,"Young but experienced, Elise is the leader of the NCR Rangers: a paramilitary group focused on eradicating the Slavers that plague the California Wasteland. A no-nonsense woman with a good sense of justice.",I'm Elise. That's Gond. We're members of a 'group' that's trying to do right for folks.,Not so fast. You need to pass a test before becoming a ranger.,Don't bullshit me. I can see what kind of person you are.,https://fallout.fandom.com/wiki/Elise,scelise.png,Yes,,
Enlightened One,scenlone,eo,eo,NCR,VOCK,Talking Heads,Auditioning,,The Enlightened One is the Hubology (a new wave religion) emissary in NCR. She tends to make people uneasy with her constant smile on her face. Her proselytising seems to have angered a few citizens.,"Greetings, child. Are you one of the Enlightened?","Ah, such enthusiasm. Come with me.","Honestly, how do they expect me to spread the word out here when they don't even keep me up-to-date on the latest doctrine!?",https://fallout.fandom.com/wiki/Enlightened_One,scenlone.png,Yes,,
Doctor Henry,schenry,henry,,NCR,THAT,Talking Heads,Completed,matthewmeadows4,,,,,https://fallout.fandom.com/wiki/Henry,schenry.png,Yes,,
Merk,scmerk,merk,merk,NCR,VOCK,Talking Heads,Auditioning,,"Merk is the local crime boss of NCR, which is an achievement in itself due to the town being close to a police state. Only someone who is respected in the underground may earn a meeting with him.",Go fetch me another whiskey - quick now.,Will somebody get this brahmin turd out of here?,I’ve got a job for you…,https://fallout.fandom.com/wiki/Merk,scmerk.png,Yes,,
Mira,scmira,skeri,,NCR,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Mira,scmira.png,Yes,,
Robodog,scrobo,dogr,dogr,NCR,VOCK,Talking Heads,Auditioning,,"A poorly made half dog/half machine, Robodog is a simple minded but loyal companion to the Chosen One.",Arf! <click> Woof!,<sprzzzt> Meow...error.,"<whirrr> Not bird, nor plane, nor even frog, just lil' old me - Robodog!<click>",https://fallout.fandom.com/wiki/Robodog,scrobo.png,Yes,Yes,
Sheriff Dumont,scsherif,dum,dum,NCR,VOCK,Talking Heads,Auditioning,,"Grey haired and square jawed, Dumont is the sheriff and chief of the NCR Police Force. A stoic man who takes his job very seriously.","Take a word of advice from Sheriff Dumont, stranger - this town don't care for your kind. Any trouble and I come down hard. Now, is there anything I can do for you?",Recommend you? Hmmm....I couldn't. Don't even know you.,Just make sure things stay that way. Goodbye.,https://fallout.fandom.com/wiki/Dumont,scsherif.png,Yes,,
Vortis,scvortis,vort,vort,NCR,VOCK,Talking Heads,Cast,Enrico Leone,Vortis is an old and cunning Slaver who operates in the NCR Bazaar.,"This place is my place and I, Vortis, run an honest and legitimate business no matter what anybody in NCR tells you.","Oh, look - the goody two-shoes, lollipop kid. Boys, escort this hypocritical paragon of saintly virtue out of my sight!",Go in there and I'll blow your head off. Understand?,https://fallout.fandom.com/wiki/Vortis,scvortis.png,Yes,,
Roger Westin,scwestin,west,,NCR,THAT,Talking Heads,Completed,Dark Lore Dash,,,,,https://fallout.fandom.com/wiki/Roger_Westin,scwestin.png,Yes,,
Tandi,shtandi,tndi2,,NCR,FO2,Fallout 2,Completed,Tress MacNeille,,,,,https://fallout.fandom.com/wiki/Tandi,shtandi.png,Yes,,
Don,slvcc1,don,don,Slaver Camp,VOCK,Talking Heads,Auditioning,,"Don is a ruthless slaver, subordinate to Metzger and leader of the Slaver’s Camp south west of The Den.","Hey, what the fuck!? Who the hell are you?",Join us? This aint a fuckin recruiting center. If you want to join the slavers go to the Den and speak with Metzger.,"Yeah right. You're full of shit and you're wasting my time. For that, you die. [Signals to his men.] Let's waste this loser.",https://fallout.fandom.com/wiki/Don,slvcc1.png,Yes,,
Krom,tribec1,krom,krom,Umbra Tribe,VOCK,Talking Heads,Cast,Jeremy Lindsay,"Initially hailing from a different tribe, Krom was asked to become Umbra’s chief warrior due to his amazing prowess in battle and unmatched bravery.","I come from a tribe far to the north. When I was fifteen, we were attacked by savages. I awoke that day as a boy, but by the time the sun set on that grim scene, I had slayed my way to manhood.","What's life without battle and strife? It either breaks a man, or it forges him into steel. I wear my scars with pride.","You've got a fire in you, girl. I like that. Perhaps we could put that fire to good use while you're here. What do you say?",https://f2rp.bgforge.net/umbra-tribe/,tribec1.png,Yes,,
Chieftain,tribec12,chief,chief,Umbra Tribe,VOCK,Talking Heads,Auditioning,,"A man of few words, the chieftain of Umbra Tribe (Sulik’s clan) will do what is best for his people.","The Holy GECK... [He takes a long hit off his pipe.] There is a creature that we sometimes hunt -- sometimes, it hunts us. A gecko. No, I sense that's not what you seek.",The slavers are led by a man with a dark soul. Metzger. He dwells in one of the ruined husks of the Old One's cities. They call it the Den.,"You have done a great deed, child. I hear the cries of many wicked bonespirits lost out in the Great Salt Water.",https://f2rp.bgforge.net/umbra-tribe/,tribec12.png,Yes,,
Shaman,tribec4,sham,,Umbra Tribe,THAT,Talking Heads,Completed,wykton,,,,,https://f2rp.bgforge.net/umbra-tribe/,tribec4.png,Yes,,
Kurisu,tribec7,kur,kur,Umbra Tribe,VOCK,Talking Heads,Auditioning,,"A young member of the tribe, Kurisu is Sulik’s sister. She is currently captured by slavers. It’ll be up to The Chosen One to free her and reunite her with her brother.","Name's Kurisu, but now not the time for proper greetin'. Please, you needin' to get us out of cage and away from de wicked men.","Thanks again, fren. May the spirits bless you.",It be safe yet? You sent the slavers to the spirits?,https://f2rp.bgforge.net/umbra-tribe/,tribec7.png,Yes,,
Amanda,vcamanda,ama,ama,Vault City,VOCK,Talking Heads,Auditioning,,"Amanda is a tired-looking woman. Her husband, Joshua, was recently arrested for striking a Citizen during a bar brawl at the Spittoon. As a result, he was sentenced to servant work as rehabilitation. Amanda is looking at years of raising her son alone, possibly losing her meager tent in the Courtyard, as Joshua was the breadwinner of the family.","I...well, I...it's my husband Joshua. He...got into some trouble in...the bar. He accidentally struck a Citizen and was arrested. He didn't mean to, but he'd been drinking, and…",Please rescue Joshua. He's inside the City in the Servant Allocation Center.,Thank you again for rescuing my husband. We'll be moving on soon.,https://fallout.fandom.com/wiki/Amanda,vcamanda.png,Yes,,
Doctor Andrew,vcandy,andr,andr,Vault City,VOCK,Talking Heads,Auditioning,,"Andrew is more or less an average citizen left in charge of a malfunctioning Auto-Doc just outside of Vault City. He has received very little, if any, medical training, and will make that known in conversation.","Whoa...looks like you've seen some serious action, friend.",Uh-oh. Looks like the ol' Doctor took a pound of flesh this time.,"Pay you? Hell, no! I didn't ask you to fix it, so you don't get jack.",https://fallout.fandom.com/wiki/Andrew_(Fallout_2),vcandy.png,Yes,,
Barkus,vcbarkus,bark,,Vault City,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Barkus,vcbarkus.png,Yes,,
John Cassidy,vccasidy,casdy,,Vault City,RPU,RPU,Completed,"Joey Bracken
Adam Dravean",,,,,https://fallout.fandom.com/wiki/John_Cassidy,vccasidy.png,Yes,Yes,
Connar,vcconnar,cnr,cnr,Vault Village,VOCK,Talking Heads,Auditioning,,Connar is the leader of a farming village near Vault City. He hopes to protect his people from their tyranny.,Those creatures are the only thing that are stopping Vault City from making us their so-called servants.,You idiot! Why the hell did you do that!,"Stay where you are for now, wanderer. What are you doing here?",https://f2rp.bgforge.net/vault-village/,vcconnar.png,Yes,,
Doctor Troy,vcdrtroy,troy,,Vault City,THAT,Talking Heads,Completed,Dylan_B_VO,,,,,https://fallout.fandom.com/wiki/Troy_(Fallout_2),vcdrtroy.png,Yes,,
Lydia,vcdwnbar,lydia,lydia,Vault City,VOCK,Talking Heads,Completed,Juliet Blank,"Dressed in fatigues and metal armor, Lydia would fit right in with Vault City guardsmen, but she prefers running her bar and serving those who come to the city. Like most citizens she has some closed minded views although she is friendlier than most.","Please! Take a seat, rest for a while!","The brahmin milk's not on tap...well, not exactly. I'd have to go out and snag some really quick.","That is perhaps the most fascinating thing I've ever heard. Hold on a second...I want the guards to hear it, too.",https://fallout.fandom.com/wiki/Lydia_(Fallout_2),vcdwnbar.png,Yes,,
Gregory,vcgreg,greg,,Vault City,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Gregory_(Fallout_2),vcgreg.png,Yes,,
Happy Harry,vcharry,hhary,hhary,Vault City,VOCK,Talking Heads,Auditioning,,"A short and jovial man, Happy Harry runs a small store in Vault City’s courtyard. He seems to supply all kinds of things.","Well, hello there... what can I do for you?","Working with Dave, eh? Yeah, I know the fella. I see he's still got a knack for getting others to do his leg work--lazy bastard.","Not my problem. Look, my business struggles enough as it is. If anyone finds out I'm providing Connar with weapons, then things will turn real ugly, real fast.",https://fallout.fandom.com/wiki/Happy_Harry,vcharry.png,Yes,,
Joanne Lynette,vclynett,lynet,,Vault City,FO2,Fallout 2,Completed,Cree Summer,,,,,https://fallout.fandom.com/wiki/Joanne_Lynette,vclynett.png,Yes,,
Valerie,vcmainwk,vcval,,Vault City,THAT,Talking Heads,Completed,Krissey,,,,,https://fallout.fandom.com/wiki/Valerie,vcmainwk.png,Yes,,
McClure,vcmclure,mcclr,,Vault City,THAT,Talking Heads,Completed,Tom Demont,,,,,https://fallout.fandom.com/wiki/McClure,vcmclure.png,Yes,,
Thomas Moore,vcmoore,moore,moore,Vault City,VOCK,Talking Heads,Auditioning,,"A scruffy looking man (albeit wearing clean clothes), Thomas Moore can be found in the streets of Vault City loudly preaching for the abolition of slavery. In reality, Thomas Moore is an undercover NCR agent gathering intelligence on Vault City and smuggling its technology outside.","Hello and welcome, traveler! Have you heard the word today?",It is TIME to hear the wailing of our kin outside these walls and let them in! We have more than enough to feed and shelter our brothers... we need not be rich when so MANY are poor.,"I have a briefcase... with information vital to our cause. Will you deliver it to New Reno for me? I would do it, but the Citizens here are watching me...",https://fallout.fandom.com/wiki/Thomas_Moore,vcmoore.png,Yes,,
Phyllis,vcnancy,phl,phl,Vault City,VOCK,Talking Heads,Auditioning,,"Phyllis is the young assistant of Dr. Troy and, to no one’s surprise, another example of Vault City snobbery. She seems curious about life outside the city walls.",Oh! You must be one of the Servants assigned here for the day.,"Vault City? Well, actually, there's not much to say. I mean, I've been a Citizen all my life…","It's like they're all... clones. They all dress alike, act alike, and the worst part is that everybody seems happy with it.",https://fallout.fandom.com/wiki/Phyllis,vcnancy.png,Yes,,
Old Joe,vcoldjoe,ianoj,ianoj,Vault City,VOCK,Talking Heads,Completed,Lewis Saunders,"An ancient looking man with a wild gleam to his eyes, Old Joe is known as the local “crazy old man”. There may be more to him than it seems.","Don't remember me, do you? Well, you do seem to be a bit young.",Let an old man rest.,"Connar, huh? He's a good guy. I've been keeping my eye on things for him.",https://f2rp.bgforge.net/vault-village/,vcoldjoe.png,Yes,,
Stark,vcstark,stark,,Vault City,THAT,Talking Heads,Completed,Dylan_B_VO,,,,,https://fallout.fandom.com/wiki/Stark,vcstark.png,Yes,,
Wallace,vcwalace,wall,,Vault City,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Wallace_(Fallout_2),vcwalace.png,Yes,,
Ann,vilann,annvv,annvv,Vault Village,VOCK,Talking Heads,Completed,Jessica Baxter,"Ann is Connar’s young and laborious wife, she hopes to turn her village into a proper settlement.","Why hello there, I'm Connar's wife, Ann. You must be the one who helped us out. I can't tell you how much we appreciate all you've done.","Oh, it's you! Thank you for speaking with Mr. Baron.",We'll stifle as a community without proper trade.,https://f2rp.bgforge.net/vault-village/,vilann.png,Yes,,
Skynet,wcbrnbot,sky,,Sierra Army Depot,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Skynet,wcbrnbot.png,Yes,Yes,
Private Dobbs,wcdobbs,dobbs,dobbs,Sierra Army Depot,VOCK,Talking Heads,Auditioning,,"Dobbs is a soldier of the United States Army. Sometime before October 23, 2077, he was killed in battle and pronounced dead, and he claims to have learned this via an out-of-body experience. While he was out of the body he observed his body being taken to a laboratory and immersed in bio med gel. When defrosted he looks healthy, but seems quite disoriented.","I-I'm Dobbs, Private, First Class.","I was in a battle. Yes, a battle. There was gunfire and explosions everywhere. People dying. I was scared but I had to keep on fighting. Then there was this blinding flash.",The next thing I remember was seeing my body as if I was looking down at it from above. I heard the doctors say I was dead and then they threw my body onto a pile of other bodies.,https://fallout.fandom.com/wiki/Dobbs,wcdobbs.png,Yes,,
Brahmin Bess,mcbess,,,Modoc,,,,,,,,,https://fallout.fandom.com/wiki/Bess_(Fallout_2),,No,Yes,
Pariah dog,ecpdog,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Pariah_dog,,No,Yes,
Feargus,aceric,,,Arroyo,,,,,,,,,https://fallout.fandom.com/wiki/Feargus_(Arroyo),,No,,
Jordan,acjordan,,,Arroyo,,,,,,,,,https://fallout.fandom.com/wiki/Jordan,,No,,
Lucas,acfist,,,Arroyo,,,,,,,,,https://fallout.fandom.com/wiki/Lucas_(Fallout_2),,No,,
Nagor,acnagor,,,Arroyo,,,,,,,,,https://fallout.fandom.com/wiki/Nagor,,No,,
Smoke,,,,Arroyo,,,,,,,,,https://fallout.fandom.com/wiki/Smoke,,No,,
John L. Sullivan,hcsulvan,,,Klamath,,,,,,,,,https://fallout.fandom.com/wiki/John_L._Sullivan,,No,,
Keeng Ra'at,kcratgod,,,Klamath,,,,,,,,,https://fallout.fandom.com/wiki/Keeng_Ra%27at,,No,,
Whiskey Bob,kcbob,,,Klamath,,,,,,,,,https://fallout.fandom.com/wiki/Whiskey_Bob,,No,,
Fred,dcfred,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Fred_(Fallout_2),,No,,
Leanne,dcstory1,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Leanne,,No,,
Aidan,dcslvgrt,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Aidan,,No,,
Billy,dcbilly,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Billy_(Fallout_2),,No,,
Derek,dcderek,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Derek_(Fallout_2),,No,,
Karl,mckarl,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Karl_(Den),,No,,
Marc,dcmarc,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Marc_(Den),,No,,
Stacy,dcstory2,,,The Den,,,,,,,,,https://fallout.fandom.com/wiki/Stacy_(Fallout_2),,No,,
Balthas' wife,mcbalwif,,,Modoc,,,,,,,,,https://fallout.fandom.com/wiki/Balthas%27_wife,,No,,
Bo,,,,Modoc,,,,,,,,,https://fallout.fandom.com/wiki/Bo_(Fallout_2),,No,,
Biff,,,,Modoc,,,,,,,,,https://fallout.fandom.com/wiki/Biff_(Fallout_2),,No,,
Charlie,vccharly,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Charlie_(Fallout_2),,No,,
Curtis,vccurtis,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Curtis_(Fallout_2),,No,,
Ed,vced,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Ed_(Fallout_2),,No,,
Mary Smith,vcfsmith,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Mary_Smith,,No,,
Melinda,vcmelind,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Melinda_(Fallout_2),,No,,
Smith,vcmsmith,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Smith_(Fallout_2),,No,,
Darrow,vcdarrow,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Darrow,,No,,
Holden,vcfarrel,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Holden,,No,,
Kohl,vckohl,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Kohl,,No,,
Randal,vcrandal,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Randal_(Fallout_2),,No,,
Martin,vcsupgrd,,,Vault City,,,,,,,,,https://fallout.fandom.com/wiki/Martin_(Fallout_2),,No,,
Jeremy,gcjerem,,,Gecko,,,,,,,,,https://fallout.fandom.com/wiki/Jeremy_(Fallout_2),,No,,
Lumpy,gclumpy,,,Gecko,,,,,,,,,https://fallout.fandom.com/wiki/Lumpy_(Gecko),,No,,
Aileen,hcaileen,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Aileen,,No,,
Bill,hcoutfit,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Bill_(Broken_Hills),,No,,
Brian,hcbrian,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Brian_(Fallout_2),,No,,
Elmo,hcelmo,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Elmo,,No,,
Franc,hcfrank,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Franc,,No,,
Feuding couple,hchuswif,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Feuding_couple,,No,,
Liz,hcliz,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Liz,,No,,
Lumpy,hclumpy,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Lumpy_(Broken_Hills),,No,,
Manson,hcmanson,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Manson,,No,,
Micky,hcmicky,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Micky_(Fallout_2),,No,,
Phil,hcphil,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Phil_(Broken_Hills),,No,,
Refinery supervisor,hcsuper,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Refinery_supervisor,,No,,
Chuck Stodgers,hcchuck,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Chuck_Stodgers,,No,,
Professor,hcprof,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Professor,,No,,
Professor's radscorpion,,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Professor%27s_radscorpion,,No,,
Dan's wife,hidead,,,Broken Hills,,,,,,,,,https://fallout.fandom.com/wiki/Dan%27s_wife_(Fallout_2),,No,,
Athabaska Dick,rcdick,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Athabaska_Dick,,No,,
Blasphemous Bette,rcbette,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Blasphemous_Bette,,No,,
Caminetto,rccamint,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Caminetto,,No,,
Melchior Jr.,ecmelkid,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Melchior_Jr.,,No,,
Madame Modjeska,rcmodjes,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Modjeska,,No,,
Rattray,rcratray,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Rattray,,No,,
Rooney,rcrooney,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Rooney,,No,,
Enrico Savinelli,rcsavine,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Enrico_Savinelli,,No,,
Ferndown,,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Ferndown,,No,,
Frog Morton,ecraider,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Frog_Morton,,No,,
Jackpot Jane,rcjane,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Jackpot_Jane,,No,,
James Hoffy,rchoffy,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/James_Hoffy,,No,,
Josh Laurence,rcjosh,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Josh_Laurence,,No,,
Nording,rcnord,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Nording,,No,,
Stanwell,rcstanwl,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Stanwell,,No,,
Velani,rcvelani,,,Redding,,,,,,,,,https://fallout.fandom.com/wiki/Velani,,No,,
Cody,nccody,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Cody,,No,,
Pretty Boy Lloyd,nclloyd,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Pretty_Boy_Lloyd,,No,,
Sheb,ncsheb,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Sheb,,No,,
Bill,ncbill,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Bill_(New_Reno),,No,,
Corsican Brothers,nccorbro,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Corsican_Brothers,,No,,
Evan Holyfeld,nchollyf,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Evan_Holyfeld,,No,,
Frenchy,ncband,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Frenchy,,No,,
Mark Torrance,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Mark_Torrance,,No,,
Masticator,nctyson,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Masticator,,No,,
Old Man McGee,nccaspat,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Old_Man_McGee,,No,,
Pete McKneely,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Pete_McKneely,,No,,
Joqq,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Joqq,,No,,
Tony Gunn,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Tony_Gunn,,No,,
Xander Holyland,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Xander_Holyland,,No,,
Algernon,ncalgern,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Algernon,,No,,
Buck,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Buck_(Fallout_2),,No,,
Missy,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Missy,,No,,
Packard,,,,New Reno,,,,,,,,,https://fallout.fandom.com/wiki/Packard,,No,,
Ramirez,ncmormen,,,Stables,,,,,,,,,https://fallout.fandom.com/wiki/Ramirez_(Fallout_2),,No,,
Buster,scbuster,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Buster,,No,,
Doofus,scskeete,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Doofus,,No,,
Mikey Frazier,scmikey,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Mikey_Frazier,,No,,
Ratch Scratch,scratch,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Ratch,,No,,
Dorothy,scdoroth,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Dorothy_(Fallout_2),,No,,
Duppo,scduppo,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Duppo,,No,,
Dusty,scdusty,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Dusty_(Fallout_2),,No,,
Gond,scgond,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Gond,,No,,
Hoss,schoss,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Hoss_(Fallout_2),,No,,
Jack,scofjack,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Jack_(Fallout_2),,No,,
Karl,sckarl,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Karl_(NCR),,No,,
Luke,fcnluke,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Luke_(Fallout_2),,No,,
Oswald,scoswald,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Oswald,,No,,
Rondo,scrondo,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Rondo,,No,,
Toto,,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Toto,,No,,
Felix,scfelix,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Felix_(Fallout_2),,No,,
Grant,scwesgrd,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Grant_(Fallout_2),,No,,
Saltbeef Bob,scsalbob,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Saltbeef_Bob,,No,,
Feargus,scfergus,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Feargus_(NCR),,No,,
Frank Carlson,sccarlsn,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Frank_Carlson,,No,,
Gunther,scgunthr,,,NCR,,,,,,,,,https://fallout.fandom.com/wiki/Gunther_(Fallout_2),,No,,
Bill,scjohn,,,Vault 15,,,,,,,,,https://fallout.fandom.com/wiki/Bill_(Vault_15),,No,,
Roberta,bcrobert,,,Vault 15,,,,,,,,,https://fallout.fandom.com/wiki/Roberta,,No,,
Baddog,,,,Vault 15,,,,,,,,,https://fallout.fandom.com/wiki/Baddog,,No,,
Karla,bckarla,,,Vault 15,,,,,,,,,https://fallout.fandom.com/wiki/Karla_(Fallout_2),,No,,
Phil,bcphil,,,Vault 15,,,,,,,,,https://fallout.fandom.com/wiki/Phil_(Khans),,No,,
Baby deathclaws,,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Deathclaw_(Fallout_2)#Deathclaw_spawn,,No,,
Dar,ocdar,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Dar_(Fallout_2),,No,,
Jul,ocjul,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Jul,,No,,
Kerith,ockerith,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Kerith,,No,,
Thearn,octhearn,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Thearn,,No,,
Valdis,ocvaldis,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Valdis,,No,,
Dave,ocdave,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Dave_(Fallout_2),,No,,
Jimmy,ocjimmy,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Jimmy_(Vault_13),,No,,
Matt,ocmatt,,,Vault 13,,,,,,,,,https://fallout.fandom.com/wiki/Matt_(Vault_13),,No,,
